fips,county,state,pct_diabetes16
1001,Autauga,Alabama,10.2
1003,Baldwin,Alabama,8.8
1005,Barbour,Alabama,12.3
1007,Bibb,Alabama,10.9
1009,Blount,Alabama,9.8
1011,Bullock,Alabama,9.8
1013,Butler,Alabama,12.3
1015,Calhoun,Alabama,12.6
1017,Chambers,Alabama,11.2
1019,Cherokee,Alabama,8.8
1021,Chilton,Alabama,10.7
1023,Choctaw,Alabama,10.4
1025,Clarke,Alabama,13.2
1027,Clay,Alabama,8.6
1029,Cleburne,Alabama,8.0
1031,Coffee,Alabama,11.4
1033,Colbert,Alabama,12.8
1035,Conecuh,Alabama,11.6
1037,Coosa,Alabama,10.8
1039,Covington,Alabama,10.2
1041,Crenshaw,Alabama,9.4
1043,Cullman,Alabama,10.9
1045,Dale,Alabama,12.7
1047,Dallas,Alabama,12.4
1049,Dekalb,Alabama,9.6
1051,Elmore,Alabama,10.8
1053,Escambia,Alabama,12.2
1055,Etowah,Alabama,10.8
1057,Fayette,Alabama,9.0
1059,Franklin,Alabama,9.6
1061,Geneva,Alabama,10.7
1063,Greene,Alabama,11.0
1065,Hale,Alabama,11.2
1067,Henry,Alabama,8.5
1069,Houston,Alabama,11.9
1071,Jackson,Alabama,10.6
1073,Jefferson,Alabama,11.6
1075,Lamar,Alabama,10.0
1077,Lauderdale,Alabama,11.4
1079,Lawrence,Alabama,9.5
1081,Lee,Alabama,8.4
1083,Limestone,Alabama,8.1
1085,Lowndes,Alabama,10.6
1087,Macon,Alabama,10.8
1089,Madison,Alabama,11.0
1091,Marengo,Alabama,12.3
1093,Marion,Alabama,11.8
1095,Marshall,Alabama,8.8
1097,Mobile,Alabama,12.8
1099,Monroe,Alabama,12.1
1101,Montgomery,Alabama,11.8
1103,Morgan,Alabama,9.6
1105,Perry,Alabama,12.6
1107,Pickens,Alabama,11.8
1109,Pike,Alabama,9.5
1111,Randolph,Alabama,9.9
1113,Russell,Alabama,9.6
1117,Shelby,Alabama,7.1
1115,St. Clair,Alabama,8.6
1119,Sumter,Alabama,13.9
1121,Talladega,Alabama,12.3
1123,Tallapoosa,Alabama,10.6
1125,Tuscaloosa,Alabama,11.6
1127,Walker,Alabama,9.6
1129,Washington,Alabama,10.1
1131,Wilcox,Alabama,12.8
1133,Winston,Alabama,11.0
2013,Aleutians East Borough,Alaska,9.0
2016,Aleutians West Census Area,Alaska,8.7
2020,Anchorage Municipality,Alaska,8.2
2050,Bethel Census Area,Alaska,7.7
2060,Bristol Bay Borough,Alaska,9.4
2068,Denali Borough,Alaska,7.8
2070,Dillingham Census Area,Alaska,9.8
2090,Fairbanks North Star Borough,Alaska,6.8
2100,Haines Borough,Alaska,7.4
2105,Hoonah-Angoon Census Area,Alaska,8.8
2110,Juneau City and Borough,Alaska,7.2
2122,Kenai Peninsula Borough,Alaska,6.9
2130,Ketchikan Gateway Borough,Alaska,10.0
2150,Kodiak Island Borough,Alaska,8.2
2158,Kusilvak Census Area,Alaska,8.3
2164,Lake and Peninsula Borough,Alaska,8.4
2170,Matanuska-Susitna Borough,Alaska,8.5
2180,Nome Census Area,Alaska,8.1
2185,North Slope Borough,Alaska,8.2
2188,Northwest Arctic Borough,Alaska,9.5
2195,Petersburg Census Area,Alaska,7.6
2198,Prince of Wales-Hyder Censu,Alaska,8.7
2220,Sitka City and Borough,Alaska,7.3
2230,Skagway Municipality,Alaska,7.4
2240,Southeast Fairbanks Census Area,Alaska,7.8
2261,Valdez-Cordova Census Area,Alaska,8.5
2275,Wrangell City and Borough,Alaska,8.2
2282,Yakutat City and Borough,Alaska,8.4
2290,Yukon-Koyukuk Census Area,Alaska,8.0
4001,Apache,Arizona,12.6
4003,Cochise,Arizona,8.4
4005,Coconino,Arizona,6.9
4007,Gila,Arizona,9.8
4009,Graham,Arizona,9.4
4011,Greenlee,Arizona,8.4
4012,La Paz,Arizona,8.5
4013,Maricopa,Arizona,8.4
4015,Mohave,Arizona,9.4
4017,Navajo,Arizona,11.1
4019,Pima,Arizona,7.8
4021,Pinal,Arizona,10.8
4023,Santa Cruz,Arizona,8.0
4025,Yavapai,Arizona,7.0
4027,Yuma,Arizona,11.5
5001,Arkansas,Arkansas,11.2
5003,Ashley,Arkansas,10.0
5005,Baxter,Arkansas,9.9
5007,Benton,Arkansas,8.3
5009,Boone,Arkansas,9.8
5011,Bradley,Arkansas,9.4
5013,Calhoun,Arkansas,7.8
5015,Carroll,Arkansas,7.2
5017,Chicot,Arkansas,8.1
5019,Clark,Arkansas,8.6
5021,Clay,Arkansas,8.9
5023,Cleburne,Arkansas,7.7
5025,Cleveland,Arkansas,8.5
5027,Columbia,Arkansas,10.1
5029,Conway,Arkansas,9.7
5031,Craighead,Arkansas,9.6
5033,Crawford,Arkansas,10.0
5035,Crittenden,Arkansas,12.6
5037,Cross,Arkansas,9.7
5039,Dallas,Arkansas,8.3
5041,Desha,Arkansas,8.5
5043,Drew,Arkansas,9.3
5045,Faulkner,Arkansas,8.4
5047,Franklin,Arkansas,8.0
5049,Fulton,Arkansas,8.4
5051,Garland,Arkansas,8.7
5053,Grant,Arkansas,9.1
5055,Greene,Arkansas,10.3
5057,Hempstead,Arkansas,9.6
5059,Hot Spring,Arkansas,9.2
5061,Howard,Arkansas,9.9
5063,Independence,Arkansas,8.8
5065,Izard,Arkansas,8.4
5067,Jackson,Arkansas,8.3
5069,Jefferson,Arkansas,13.5
5071,Johnson,Arkansas,8.2
5073,Lafayette,Arkansas,8.6
5075,Lawrence,Arkansas,7.5
5077,Lee,Arkansas,9.3
5079,Lincoln,Arkansas,9.5
5081,Little River,Arkansas,8.3
5083,Logan,Arkansas,7.9
5085,Lonoke,Arkansas,10.7
5087,Madison,Arkansas,8.2
5089,Marion,Arkansas,9.0
5091,Miller,Arkansas,7.7
5093,Mississippi,Arkansas,10.9
5095,Monroe,Arkansas,8.9
5097,Montgomery,Arkansas,8.6
5099,Nevada,Arkansas,8.6
5101,Newton,Arkansas,7.9
5103,Ouachita,Arkansas,10.0
5105,Perry,Arkansas,8.3
5107,Phillips,Arkansas,10.4
5109,Pike,Arkansas,8.5
5111,Poinsett,Arkansas,9.6
5113,Polk,Arkansas,7.7
5115,Pope,Arkansas,8.7
5117,Prairie,Arkansas,8.6
5119,Pulaski,Arkansas,10.9
5121,Randolph,Arkansas,9.3
5125,Saline,Arkansas,10.8
5127,Scott,Arkansas,8.7
5129,Searcy,Arkansas,7.6
5131,Sebastian,Arkansas,10.3
5133,Sevier,Arkansas,9.7
5135,Sharp,Arkansas,9.2
5123,St. Francis,Arkansas,13.5
5137,Stone,Arkansas,9.8
5139,Union,Arkansas,9.6
5141,Van Buren,Arkansas,8.7
5143,Washington,Arkansas,9.6
5145,White,Arkansas,10.1
5147,Woodruff,Arkansas,7.8
5149,Yell,Arkansas,9.5
6001,Alameda,California,7.7
6003,Alpine,California,7.6
6005,Amador,California,9.0
6007,Butte,California,8.0
6009,Calaveras,California,8.6
6011,Colusa,California,8.0
6013,Contra Costa,California,8.0
6015,Del Norte,California,7.4
6017,El Dorado,California,6.2
6019,Fresno,California,11.1
6021,Glenn,California,7.7
6023,Humboldt,California,8.8
6025,Imperial,California,9.3
6027,Inyo,California,7.6
6029,Kern,California,9.6
6031,Kings,California,8.8
6033,Lake,California,7.9
6035,Lassen,California,7.8
6037,Los Angeles,California,8.8
6039,Madera,California,8.9
6041,Marin,California,5.9
6043,Mariposa,California,7.4
6045,Mendocino,California,7.1
6047,Merced,California,11.1
6049,Modoc,California,7.3
6051,Mono,California,7.2
6053,Monterey,California,8.0
6055,Napa,California,6.8
6057,Nevada,California,6.2
6059,Orange,California,8.3
6061,Placer,California,6.3
6063,Plumas,California,7.3
6065,Riverside,California,8.6
6067,Sacramento,California,8.7
6069,San Benito,California,8.1
6071,San Bernardino,California,9.7
6073,San Diego,California,7.6
6075,San Francisco,California,7.1
6077,San Joaquin,California,9.3
6079,San Luis Obispo,California,6.6
6081,San Mateo,California,7.3
6083,Santa Barbara,California,8.5
6085,Santa Clara,California,7.9
6087,Santa Cruz,California,7.4
6089,Shasta,California,7.9
6091,Sierra,California,7.1
6093,Siskiyou,California,7.8
6095,Solano,California,10.4
6097,Sonoma,California,6.3
6099,Stanislaus,California,10.3
6101,Sutter,California,7.5
6103,Tehama,California,7.3
6105,Trinity,California,7.6
6107,Tulare,California,10.8
6109,Tuolumne,California,6.7
6111,Ventura,California,7.9
6113,Yolo,California,7.4
6115,Yuba,California,8.3
8001,Adams,Colorado,8.0
8003,Alamosa,Colorado,7.8
8005,Arapahoe,Colorado,6.5
8007,Archuleta,Colorado,5.4
8009,Baca,Colorado,8.4
8011,Bent,Colorado,8.0
8013,Boulder,Colorado,4.4
8014,Broomfield,Colorado,6.5
8015,Chaffee,Colorado,5.9
8017,Cheyenne,Colorado,6.7
8019,Clear Creek,Colorado,6.7
8021,Conejos,Colorado,7.4
8023,Costilla,Colorado,9.2
8025,Crowley,Colorado,7.9
8027,Custer,Colorado,5.9
8029,Delta,Colorado,7.0
8031,Denver,Colorado,5.7
8033,Dolores,Colorado,6.9
8035,Douglas,Colorado,4.7
8037,Eagle,Colorado,4.4
8041,El Paso,Colorado,6.9
8039,Elbert,Colorado,5.8
8043,Fremont,Colorado,7.7
8045,Garfield,Colorado,5.5
8047,Gilpin,Colorado,6.8
8049,Grand,Colorado,5.8
8051,Gunnison,Colorado,5.6
8053,Hinsdale,Colorado,6.9
8055,Huerfano,Colorado,8.2
8057,Jackson,Colorado,7.7
8059,Jefferson,Colorado,5.4
8061,Kiowa,Colorado,7.1
8063,Kit Carson,Colorado,7.5
8067,La Plata,Colorado,5.1
8065,Lake,Colorado,6.9
8069,Larimer,Colorado,5.1
8071,Las Animas,Colorado,9.4
8073,Lincoln,Colorado,7.5
8075,Logan,Colorado,9.0
8077,Mesa,Colorado,6.7
8079,Mineral,Colorado,6.8
8081,Moffat,Colorado,7.7
8083,Montezuma,Colorado,7.8
8085,Montrose,Colorado,6.5
8087,Morgan,Colorado,9.0
8089,Otero,Colorado,8.2
8091,Ouray,Colorado,7.1
8093,Park,Colorado,5.8
8095,Phillips,Colorado,7.7
8097,Pitkin,Colorado,5.0
8099,Prowers,Colorado,9.7
8101,Pueblo,Colorado,8.7
8103,Rio Blanco,Colorado,6.6
8105,Rio Grande,Colorado,7.8
8107,Routt,Colorado,4.9
8109,Saguache,Colorado,7.3
8111,San Juan,Colorado,7.1
8113,San Miguel,Colorado,6.3
8115,Sedgwick,Colorado,7.6
8117,Summit,Colorado,5.5
8119,Teller,Colorado,6.8
8121,Washington,Colorado,8.0
8123,Weld,Colorado,7.1
8125,Yuma,Colorado,7.3
9001,Fairfield,Connecticut,6.7
9003,Hartford,Connecticut,8.7
9005,Litchfield,Connecticut,6.7
9007,Middlesex,Connecticut,5.9
9009,New Haven,Connecticut,8.2
9011,New London,Connecticut,7.8
9013,Tolland,Connecticut,7.2
9015,Windham,Connecticut,9.1
10001,Kent,Delaware,11.2
10003,New Castle,Delaware,9.1
10005,Sussex,Delaware,9.9
11001,District Of Columbia,District of Columbia,9.0
12001,Alachua,Florida,9.3
12003,Baker,Florida,12.4
12005,Bay,Florida,9.4
12007,Bradford,Florida,9.6
12009,Brevard,Florida,10.1
12011,Broward,Florida,8.7
12013,Calhoun,Florida,12.3
12015,Charlotte,Florida,7.9
12017,Citrus,Florida,9.3
12019,Clay,Florida,10.4
12021,Collier,Florida,6.1
12023,Columbia,Florida,11.6
12027,Desoto,Florida,10.5
12029,Dixie,Florida,11.6
12031,Duval,Florida,10.3
12033,Escambia,Florida,12.1
12035,Flagler,Florida,8.7
12037,Franklin,Florida,9.6
12039,Gadsden,Florida,15.1
12041,Gilchrist,Florida,10.0
12043,Glades,Florida,11.7
12045,Gulf,Florida,9.8
12047,Hamilton,Florida,12.1
12049,Hardee,Florida,13.0
12051,Hendry,Florida,10.1
12053,Hernando,Florida,10.4
12055,Highlands,Florida,10.4
12057,Hillsborough,Florida,9.9
12059,Holmes,Florida,10.3
12061,Indian River,Florida,8.6
12063,Jackson,Florida,13.2
12065,Jefferson,Florida,10.1
12067,Lafayette,Florida,11.6
12069,Lake,Florida,9.3
12071,Lee,Florida,7.7
12073,Leon,Florida,8.8
12075,Levy,Florida,10.8
12077,Liberty,Florida,11.3
12079,Madison,Florida,13.6
12081,Manatee,Florida,7.8
12083,Marion,Florida,10.2
12085,Martin,Florida,6.5
12086,Miami-Dade,Florida,7.4
12087,Monroe,Florida,5.7
12089,Nassau,Florida,9.6
12091,Okaloosa,Florida,9.6
12093,Okeechobee,Florida,12.2
12095,Orange,Florida,9.2
12097,Osceola,Florida,10.3
12099,Palm Beach,Florida,8.1
12101,Pasco,Florida,9.8
12103,Pinellas,Florida,8.1
12105,Polk,Florida,11.1
12107,Putnam,Florida,11.3
12113,Santa Rosa,Florida,10.4
12115,Sarasota,Florida,6.0
12117,Seminole,Florida,8.8
12109,St. Johns,Florida,6.2
12111,St. Lucie,Florida,9.4
12119,Sumter,Florida,8.1
12121,Suwannee,Florida,11.3
12123,Taylor,Florida,9.6
12125,Union,Florida,12.0
12127,Volusia,Florida,10.1
12129,Wakulla,Florida,7.5
12131,Walton,Florida,9.4
12133,Washington,Florida,11.3
13001,Appling,Georgia,8.2
13003,Atkinson,Georgia,8.0
13005,Bacon,Georgia,7.7
13007,Baker,Georgia,8.1
13009,Baldwin,Georgia,8.0
13011,Banks,Georgia,7.3
13013,Barrow,Georgia,10.2
13015,Bartow,Georgia,9.0
13017,Ben Hill,Georgia,8.1
13019,Berrien,Georgia,10.2
13021,Bibb,Georgia,11.3
13023,Bleckley,Georgia,8.0
13025,Brantley,Georgia,7.4
13027,Brooks,Georgia,8.3
13029,Bryan,Georgia,8.5
13031,Bulloch,Georgia,9.7
13033,Burke,Georgia,8.4
13035,Butts,Georgia,7.9
13037,Calhoun,Georgia,8.8
13039,Camden,Georgia,11.4
13043,Candler,Georgia,8.0
13045,Carroll,Georgia,9.7
13047,Catoosa,Georgia,8.8
13049,Charlton,Georgia,8.4
13051,Chatham,Georgia,9.1
13053,Chattahoochee,Georgia,7.7
13055,Chattooga,Georgia,7.8
13057,Cherokee,Georgia,8.6
13059,Clarke,Georgia,9.1
13061,Clay,Georgia,8.5
13063,Clayton,Georgia,11.2
13065,Clinch,Georgia,7.6
13067,Cobb,Georgia,7.5
13069,Coffee,Georgia,9.4
13071,Colquitt,Georgia,9.8
13073,Columbia,Georgia,8.5
13075,Cook,Georgia,10.1
13077,Coweta,Georgia,9.5
13079,Crawford,Georgia,8.1
13081,Crisp,Georgia,9.9
13083,Dade,Georgia,8.4
13085,Dawson,Georgia,7.6
13087,Decatur,Georgia,9.1
13089,Dekalb,Georgia,8.4
13091,Dodge,Georgia,9.9
13093,Dooly,Georgia,9.9
13095,Dougherty,Georgia,11.5
13097,Douglas,Georgia,10.2
13099,Early,Georgia,8.9
13101,Echols,Georgia,7.2
13103,Effingham,Georgia,9.3
13105,Elbert,Georgia,8.1
13107,Emanuel,Georgia,8.1
13109,Evans,Georgia,7.9
13111,Fannin,Georgia,8.4
13113,Fayette,Georgia,8.5
13115,Floyd,Georgia,10.3
13117,Forsyth,Georgia,7.7
13119,Franklin,Georgia,7.7
13121,Fulton,Georgia,8.9
13123,Gilmer,Georgia,8.6
13125,Glascock,Georgia,7.3
13127,Glynn,Georgia,10.7
13129,Gordon,Georgia,8.9
13131,Grady,Georgia,8.7
13133,Greene,Georgia,8.3
13135,Gwinnett,Georgia,10.4
13137,Habersham,Georgia,8.3
13139,Hall,Georgia,10.3
13141,Hancock,Georgia,10.1
13143,Haralson,Georgia,7.1
13145,Harris,Georgia,8.7
13147,Hart,Georgia,8.1
13149,Heard,Georgia,7.2
13151,Henry,Georgia,11.4
13153,Houston,Georgia,9.4
13155,Irwin,Georgia,8.4
13157,Jackson,Georgia,7.9
13159,Jasper,Georgia,7.8
13161,Jeff Davis,Georgia,8.7
13163,Jefferson,Georgia,8.9
13165,Jenkins,Georgia,8.2
13167,Johnson,Georgia,8.7
13169,Jones,Georgia,8.9
13171,Lamar,Georgia,8.3
13173,Lanier,Georgia,9.0
13175,Laurens,Georgia,12.5
13177,Lee,Georgia,9.7
13179,Liberty,Georgia,11.6
13181,Lincoln,Georgia,8.4
13183,Long,Georgia,8.0
13185,Lowndes,Georgia,10.9
13187,Lumpkin,Georgia,7.6
13193,Macon,Georgia,10.2
