fips,county,state,pct_diabetes18
1001,Autauga,Alabama,9.5
1003,Baldwin,Alabama,8.4
1005,Barbour,Alabama,13.5
1007,Bibb,Alabama,10.2
1009,Blount,Alabama,10.5
1011,Bullock,Alabama,9.4
1013,Butler,Alabama,10.9
1015,Calhoun,Alabama,12.9
1017,Chambers,Alabama,12.0
1019,Cherokee,Alabama,10.5
1021,Chilton,Alabama,14.4
1023,Choctaw,Alabama,11.0
1025,Clarke,Alabama,14.3
1027,Clay,Alabama,8.6
1029,Cleburne,Alabama,8.3
1031,Coffee,Alabama,13.8
1033,Colbert,Alabama,12.3
1035,Conecuh,Alabama,11.2
1037,Coosa,Alabama,9.5
1039,Covington,Alabama,11.9
1041,Crenshaw,Alabama,10.7
1043,Cullman,Alabama,11.0
1045,Dale,Alabama,11.7
1047,Dallas,Alabama,13.9
1049,Dekalb,Alabama,11.1
1051,Elmore,Alabama,12.1
1053,Escambia,Alabama,13.5
1055,Etowah,Alabama,13.8
1057,Fayette,Alabama,9.4
1059,Franklin,Alabama,9.5
1061,Geneva,Alabama,11.2
1063,Greene,Alabama,12.1
1065,Hale,Alabama,10.4
1067,Henry,Alabama,9.8
1069,Houston,Alabama,14.2
1071,Jackson,Alabama,10.5
1073,Jefferson,Alabama,11.2
1075,Lamar,Alabama,11.8
1077,Lauderdale,Alabama,9.9
1079,Lawrence,Alabama,9.1
1081,Lee,Alabama,9.9
1083,Limestone,Alabama,11.3
1085,Lowndes,Alabama,11.8
1087,Macon,Alabama,11.2
1089,Madison,Alabama,10.7
1091,Marengo,Alabama,12.8
1093,Marion,Alabama,9.7
1095,Marshall,Alabama,9.8
1097,Mobile,Alabama,11.9
1099,Monroe,Alabama,11.6
1101,Montgomery,Alabama,14.2
1103,Morgan,Alabama,9.4
1105,Perry,Alabama,13.4
1107,Pickens,Alabama,10.9
1109,Pike,Alabama,10.3
1111,Randolph,Alabama,11.0
1113,Russell,Alabama,10.0
1117,Shelby,Alabama,8.8
1115,St. Clair,Alabama,10.6
1119,Sumter,Alabama,11.7
1121,Talladega,Alabama,14.2
1123,Tallapoosa,Alabama,10.6
1125,Tuscaloosa,Alabama,11.8
1127,Walker,Alabama,11.2
1129,Washington,Alabama,11.2
1131,Wilcox,Alabama,11.2
1133,Winston,Alabama,10.2
2013,Aleutians East Borough,Alaska,9.3
2016,Aleutians West Census Area,Alaska,7.9
2020,Anchorage Municipality,Alaska,8.8
2050,Bethel Census Area,Alaska,8.0
2060,Bristol Bay Borough,Alaska,9.1
2068,Denali Borough,Alaska,6.8
2070,Dillingham Census Area,Alaska,8.2
2090,Fairbanks North Star Borough,Alaska,7.9
2100,Haines Borough,Alaska,7.3
2105,Hoonah-Angoon Census Area,Alaska,7.3
2110,Juneau City and Borough,Alaska,6.3
2122,Kenai Peninsula Borough,Alaska,8.2
2130,Ketchikan Gateway Borough,Alaska,8.8
2150,Kodiak Island Borough,Alaska,7.0
2158,Kusilvak Census Area,Alaska,7.4
2164,Lake and Peninsula Borough,Alaska,8.5
2170,Matanuska-Susitna Borough,Alaska,8.2
2180,Nome Census Area,Alaska,7.8
2185,North Slope Borough,Alaska,7.5
2188,Northwest Arctic Borough,Alaska,11.6
2195,Petersburg Census Area,Alaska,9.2
2198,Prince of Wales-Hyder Censu,Alaska,9.3
2220,Sitka City and Borough,Alaska,7.3
2230,Skagway Municipality,Alaska,6.6
2240,Southeast Fairbanks Census Area,Alaska,8.7
2261,Valdez-Cordova Census Area,Alaska,6.2
2275,Wrangell City and Borough,Alaska,8.4
2282,Yakutat City and Borough,Alaska,9.0
2290,Yukon-Koyukuk Census Area,Alaska,9.9
4001,Apache,Arizona,12.3
4003,Cochise,Arizona,7.8
4005,Coconino,Arizona,6.9
4007,Gila,Arizona,9.0
4009,Graham,Arizona,11.0
4011,Greenlee,Arizona,8.8
4012,La Paz,Arizona,9.9
4013,Maricopa,Arizona,8.0
4015,Mohave,Arizona,9.4
4017,Navajo,Arizona,11.5
4019,Pima,Arizona,7.6
4021,Pinal,Arizona,11.7
4023,Santa Cruz,Arizona,9.4
4025,Yavapai,Arizona,7.2
4027,Yuma,Arizona,9.5
5001,Arkansas,Arkansas,10.0
5003,Ashley,Arkansas,9.9
5005,Baxter,Arkansas,9.1
5007,Benton,Arkansas,9.1
5009,Boone,Arkansas,8.0
5011,Bradley,Arkansas,8.8
5013,Calhoun,Arkansas,6.8
5015,Carroll,Arkansas,6.5
5017,Chicot,Arkansas,7.6
5019,Clark,Arkansas,10.4
5021,Clay,Arkansas,7.6
5023,Cleburne,Arkansas,8.4
5025,Cleveland,Arkansas,8.5
5027,Columbia,Arkansas,13.6
5029,Conway,Arkansas,9.4
5031,Craighead,Arkansas,11.1
5033,Crawford,Arkansas,10.7
5035,Crittenden,Arkansas,12.7
5037,Cross,Arkansas,10.9
5039,Dallas,Arkansas,9.6
5041,Desha,Arkansas,8.8
5043,Drew,Arkansas,10.3
5045,Faulkner,Arkansas,10.3
5047,Franklin,Arkansas,8.8
5049,Fulton,Arkansas,7.1
5051,Garland,Arkansas,10.2
5053,Grant,Arkansas,9.0
5055,Greene,Arkansas,9.8
5057,Hempstead,Arkansas,10.6
5059,Hot Spring,Arkansas,10.5
5061,Howard,Arkansas,8.0
5063,Independence,Arkansas,7.6
5065,Izard,Arkansas,9.0
5067,Jackson,Arkansas,8.3
5069,Jefferson,Arkansas,11.9
5071,Johnson,Arkansas,9.6
5073,Lafayette,Arkansas,8.1
5075,Lawrence,Arkansas,9.3
5077,Lee,Arkansas,10.0
5079,Lincoln,Arkansas,9.6
5081,Little River,Arkansas,8.5
5083,Logan,Arkansas,7.7
5085,Lonoke,Arkansas,9.7
5087,Madison,Arkansas,9.1
5089,Marion,Arkansas,8.0
5091,Miller,Arkansas,10.4
5093,Mississippi,Arkansas,14.9
5095,Monroe,Arkansas,8.2
5097,Montgomery,Arkansas,7.9
5099,Nevada,Arkansas,9.6
5101,Newton,Arkansas,9.7
5103,Ouachita,Arkansas,11.1
5105,Perry,Arkansas,8.9
5107,Phillips,Arkansas,13.6
5109,Pike,Arkansas,10.0
5111,Poinsett,Arkansas,11.7
5113,Polk,Arkansas,8.6
5115,Pope,Arkansas,11.5
5117,Prairie,Arkansas,7.7
5119,Pulaski,Arkansas,10.8
5121,Randolph,Arkansas,11.0
5125,Saline,Arkansas,8.7
5127,Scott,Arkansas,7.7
5129,Searcy,Arkansas,9.5
5131,Sebastian,Arkansas,11.0
5133,Sevier,Arkansas,11.7
5135,Sharp,Arkansas,9.2
5123,St. Francis,Arkansas,11.4
5137,Stone,Arkansas,8.6
5139,Union,Arkansas,10.4
5141,Van Buren,Arkansas,9.1
5143,Washington,Arkansas,9.9
5145,White,Arkansas,11.9
5147,Woodruff,Arkansas,8.5
5149,Yell,Arkansas,9.5
6001,Alameda,California,6.6
6003,Alpine,California,7.3
6005,Amador,California,8.3
6007,Butte,California,8.9
6009,Calaveras,California,7.2
6011,Colusa,California,7.1
6013,Contra Costa,California,7.6
6015,Del Norte,California,8.1
6017,El Dorado,California,6.4
6019,Fresno,California,9.6
6021,Glenn,California,7.0
6023,Humboldt,California,7.4
6025,Imperial,California,9.5
6027,Inyo,California,7.1
6029,Kern,California,10.5
6031,Kings,California,10.5
6033,Lake,California,8.2
6035,Lassen,California,7.7
6037,Los Angeles,California,9.1
6039,Madera,California,9.4
6041,Marin,California,6.0
6043,Mariposa,California,7.4
6045,Mendocino,California,8.3
6047,Merced,California,11.3
6049,Modoc,California,7.5
6051,Mono,California,6.8
6053,Monterey,California,8.2
6055,Napa,California,7.5
6057,Nevada,California,5.1
6059,Orange,California,8.0
6061,Placer,California,6.0
6063,Plumas,California,6.9
6065,Riverside,California,9.6
6067,Sacramento,California,8.9
6069,San Benito,California,7.8
6071,San Bernardino,California,11.1
6073,San Diego,California,7.8
6075,San Francisco,California,6.6
6077,San Joaquin,California,9.9
6079,San Luis Obispo,California,7.8
6081,San Mateo,California,7.4
6083,Santa Barbara,California,6.8
6085,Santa Clara,California,8.3
6087,Santa Cruz,California,5.7
6089,Shasta,California,8.0
6091,Sierra,California,6.9
6093,Siskiyou,California,6.6
6095,Solano,California,8.1
6097,Sonoma,California,7.8
6099,Stanislaus,California,9.4
6101,Sutter,California,9.6
6103,Tehama,California,7.7
6105,Trinity,California,6.9
6107,Tulare,California,10.2
6109,Tuolumne,California,6.7
6111,Ventura,California,7.6
6113,Yolo,California,7.8
6115,Yuba,California,8.0
8001,Adams,Colorado,7.7
8003,Alamosa,Colorado,8.1
8005,Arapahoe,Colorado,7.1
8007,Archuleta,Colorado,5.6
8009,Baca,Colorado,7.6
8011,Bent,Colorado,7.4
8013,Boulder,Colorado,5.5
8014,Broomfield,Colorado,6.1
8015,Chaffee,Colorado,6.1
8017,Cheyenne,Colorado,7.3
8019,Clear Creek,Colorado,6.8
8021,Conejos,Colorado,8.1
8023,Costilla,Colorado,8.7
8025,Crowley,Colorado,7.5
8027,Custer,Colorado,6.3
8029,Delta,Colorado,7.0
8031,Denver,Colorado,6.3
8033,Dolores,Colorado,6.9
8035,Douglas,Colorado,5.5
8037,Eagle,Colorado,5.2
8041,El Paso,Colorado,6.6
8039,Elbert,Colorado,5.3
8043,Fremont,Colorado,7.6
8045,Garfield,Colorado,5.7
8047,Gilpin,Colorado,6.5
8049,Grand,Colorado,5.6
8051,Gunnison,Colorado,6.1
8053,Hinsdale,Colorado,6.9
8055,Huerfano,Colorado,7.0
8057,Jackson,Colorado,7.4
8059,Jefferson,Colorado,5.7
8061,Kiowa,Colorado,6.8
