fips,county,state,pct_diabetes18,class
1001,Autauga,Alabama,9.5,high
1003,Baldwin,Alabama,8.4,med
1005,Barbour,Alabama,13.5,high
1007,Bibb,Alabama,10.2,high
1009,Blount,Alabama,10.5,high
1011,Bullock,Alabama,9.4,high
1013,Butler,Alabama,10.9,high
1015,Calhoun,Alabama,12.9,high
1017,Chambers,Alabama,12.0,high
1019,Cherokee,Alabama,10.5,high
1021,Chilton,Alabama,14.4,high
1023,Choctaw,Alabama,11.0,high
1025,Clarke,Alabama,14.3,high
1027,Clay,Alabama,8.6,med
1029,Cleburne,Alabama,8.3,med
1031,Coffee,Alabama,13.8,high
1033,Colbert,Alabama,12.3,high
1035,Conecuh,Alabama,11.2,high
1037,Coosa,Alabama,9.5,high
1039,Covington,Alabama,11.9,high
1041,Crenshaw,Alabama,10.7,high
1043,Cullman,Alabama,11.0,high
1045,Dale,Alabama,11.7,high
1047,Dallas,Alabama,13.9,high
1049,Dekalb,Alabama,11.1,high
1051,Elmore,Alabama,12.1,high
1053,Escambia,Alabama,13.5,high
1055,Etowah,Alabama,13.8,high
1057,Fayette,Alabama,9.4,high
1059,Franklin,Alabama,9.5,high
1061,Geneva,Alabama,11.2,high
1063,Greene,Alabama,12.1,high
1065,Hale,Alabama,10.4,high
1067,Henry,Alabama,9.8,high
1069,Houston,Alabama,14.2,high
1071,Jackson,Alabama,10.5,high
1073,Jefferson,Alabama,11.2,high
1075,Lamar,Alabama,11.8,high
1077,Lauderdale,Alabama,9.9,high
1079,Lawrence,Alabama,9.1,med
1081,Lee,Alabama,9.9,high
1083,Limestone,Alabama,11.3,high
1085,Lowndes,Alabama,11.8,high
1087,Macon,Alabama,11.2,high
1089,Madison,Alabama,10.7,high
1091,Marengo,Alabama,12.8,high
1093,Marion,Alabama,9.7,high
1095,Marshall,Alabama,9.8,high
1097,Mobile,Alabama,11.9,high
1099,Monroe,Alabama,11.6,high
1101,Montgomery,Alabama,14.2,high
1103,Morgan,Alabama,9.4,high
1105,Perry,Alabama,13.4,high
1107,Pickens,Alabama,10.9,high
1109,Pike,Alabama,10.3,high
1111,Randolph,Alabama,11.0,high
1113,Russell,Alabama,10.0,high
1117,Shelby,Alabama,8.8,med
1115,St. Clair,Alabama,10.6,high
1119,Sumter,Alabama,11.7,high
1121,Talladega,Alabama,14.2,high
1123,Tallapoosa,Alabama,10.6,high
1125,Tuscaloosa,Alabama,11.8,high
1127,Walker,Alabama,11.2,high
1129,Washington,Alabama,11.2,high
1131,Wilcox,Alabama,11.2,high
1133,Winston,Alabama,10.2,high
2013,Aleutians East Borough,Alaska,9.3,high
2016,Aleutians West Census Area,Alaska,7.9,med
2020,Anchorage Municipality,Alaska,8.8,med
2050,Bethel Census Area,Alaska,8.0,med
2060,Bristol Bay Borough,Alaska,9.1,med
2068,Denali Borough,Alaska,6.8,low
2070,Dillingham Census Area,Alaska,8.2,med
2090,Fairbanks North Star Borough,Alaska,7.9,med
2100,Haines Borough,Alaska,7.3,low
2105,Hoonah-Angoon Census Area,Alaska,7.3,low
2110,Juneau City and Borough,Alaska,6.3,low
2122,Kenai Peninsula Borough,Alaska,8.2,med
2130,Ketchikan Gateway Borough,Alaska,8.8,med
2150,Kodiak Island Borough,Alaska,7.0,low
2158,Kusilvak Census Area,Alaska,7.4,low
2164,Lake and Peninsula Borough,Alaska,8.5,med
2170,Matanuska-Susitna Borough,Alaska,8.2,med
2180,Nome Census Area,Alaska,7.8,med
2185,North Slope Borough,Alaska,7.5,low
2188,Northwest Arctic Borough,Alaska,11.6,high
2195,Petersburg Census Area,Alaska,9.2,med
2198,Prince of Wales-Hyder Censu,Alaska,9.3,high
2220,Sitka City and Borough,Alaska,7.3,low
2230,Skagway Municipality,Alaska,6.6,low
2240,Southeast Fairbanks Census Area,Alaska,8.7,med
2261,Valdez-Cordova Census Area,Alaska,6.2,low
2275,Wrangell City and Borough,Alaska,8.4,med
2282,Yakutat City and Borough,Alaska,9.0,med
2290,Yukon-Koyukuk Census Area,Alaska,9.9,high
4001,Apache,Arizona,12.3,high
4003,Cochise,Arizona,7.8,med
4005,Coconino,Arizona,6.9,low
4007,Gila,Arizona,9.0,med
4009,Graham,Arizona,11.0,high
4011,Greenlee,Arizona,8.8,med
4012,La Paz,Arizona,9.9,high
4013,Maricopa,Arizona,8.0,med
4015,Mohave,Arizona,9.4,high
4017,Navajo,Arizona,11.5,high
4019,Pima,Arizona,7.6,low
4021,Pinal,Arizona,11.7,high
4023,Santa Cruz,Arizona,9.4,high
4025,Yavapai,Arizona,7.2,low
4027,Yuma,Arizona,9.5,high
5001,Arkansas,Arkansas,10.0,high
5003,Ashley,Arkansas,9.9,high
5005,Baxter,Arkansas,9.1,med
5007,Benton,Arkansas,9.1,med
5009,Boone,Arkansas,8.0,med
5011,Bradley,Arkansas,8.8,med
5013,Calhoun,Arkansas,6.8,low
5015,Carroll,Arkansas,6.5,low
5017,Chicot,Arkansas,7.6,low
5019,Clark,Arkansas,10.4,high
5021,Clay,Arkansas,7.6,low
5023,Cleburne,Arkansas,8.4,med
5025,Cleveland,Arkansas,8.5,med
5027,Columbia,Arkansas,13.6,high
5029,Conway,Arkansas,9.4,high
5031,Craighead,Arkansas,11.1,high
5033,Crawford,Arkansas,10.7,high
5035,Crittenden,Arkansas,12.7,high
5037,Cross,Arkansas,10.9,high
5039,Dallas,Arkansas,9.6,high
5041,Desha,Arkansas,8.8,med
5043,Drew,Arkansas,10.3,high
5045,Faulkner,Arkansas,10.3,high
5047,Franklin,Arkansas,8.8,med
5049,Fulton,Arkansas,7.1,low
5051,Garland,Arkansas,10.2,high
5053,Grant,Arkansas,9.0,med
5055,Greene,Arkansas,9.8,high
5057,Hempstead,Arkansas,10.6,high
5059,Hot Spring,Arkansas,10.5,high
5061,Howard,Arkansas,8.0,med
5063,Independence,Arkansas,7.6,low
5065,Izard,Arkansas,9.0,med
5067,Jackson,Arkansas,8.3,med
5069,Jefferson,Arkansas,11.9,high
5071,Johnson,Arkansas,9.6,high
5073,Lafayette,Arkansas,8.1,med
5075,Lawrence,Arkansas,9.3,high
5077,Lee,Arkansas,10.0,high
5079,Lincoln,Arkansas,9.6,high
5081,Little River,Arkansas,8.5,med
5083,Logan,Arkansas,7.7,med
5085,Lonoke,Arkansas,9.7,high
5087,Madison,Arkansas,9.1,med
5089,Marion,Arkansas,8.0,med
5091,Miller,Arkansas,10.4,high
5093,Mississippi,Arkansas,14.9,high
5095,Monroe,Arkansas,8.2,med
5097,Montgomery,Arkansas,7.9,med
5099,Nevada,Arkansas,9.6,high
5101,Newton,Arkansas,9.7,high
5103,Ouachita,Arkansas,11.1,high
5105,Perry,Arkansas,8.9,med
5107,Phillips,Arkansas,13.6,high
5109,Pike,Arkansas,10.0,high
5111,Poinsett,Arkansas,11.7,high
5113,Polk,Arkansas,8.6,med
5115,Pope,Arkansas,11.5,high
5117,Prairie,Arkansas,7.7,med
5119,Pulaski,Arkansas,10.8,high
5121,Randolph,Arkansas,11.0,high
5125,Saline,Arkansas,8.7,med
5127,Scott,Arkansas,7.7,med
5129,Searcy,Arkansas,9.5,high
5131,Sebastian,Arkansas,11.0,high
5133,Sevier,Arkansas,11.7,high
5135,Sharp,Arkansas,9.2,med
5123,St. Francis,Arkansas,11.4,high
5137,Stone,Arkansas,8.6,med
5139,Union,Arkansas,10.4,high
5141,Van Buren,Arkansas,9.1,med
5143,Washington,Arkansas,9.9,high
5145,White,Arkansas,11.9,high
5147,Woodruff,Arkansas,8.5,med
