fips,state,county,recfac11,recfac16,recfacpth11,recfacpth16,pct_mhs18,pct_mhs1825,pct_mhs26,rank18,per100th18,rank17,per100th17,pct_diabetes18,class
1001,AL,Autauga,4,6,0.072465081,0.108542277,13.0,11.0,13.0,51.0,92.6,51.0,85.0,9.5,1.0
1003,AL,Baldwin,16,21,0.085775247,0.10120043,13.0,11.0,13.0,51.0,92.6,51.0,85.0,8.4,0.0
1005,AL,Barbour,2,0,0.073123469,0.0,13.0,11.0,13.0,51.0,92.6,51.0,85.0,13.5,1.0
1007,AL,Bibb,0,1,0.0,0.0441833,13.0,11.0,13.0,51.0,92.6,51.0,85.0,10.2,1.0
1009,AL,Blount,3,4,0.0521177,0.069490289,13.0,11.0,13.0,51.0,92.6,51.0,85.0,10.5,1.0
1011,AL,Bullock,0,0,0.0,0.0,13.0,11.0,13.0,51.0,92.6,51.0,85.0,9.4,1.0
1013,AL,Butler,0,1,0.0,0.0500877,13.0,11.0,13.0,51.0,92.6,51.0,85.0,10.9,1.0
1015,AL,Calhoun,8,7,0.067920363,0.0608802,13.0,11.0,13.0,51.0,92.6,51.0,85.0,12.9,1.0
1017,AL,Chambers,0,0,0.0,0.0,13.0,11.0,13.0,51.0,92.6,51.0,85.0,12.0,1.0
1019,AL,Cherokee,1,1,0.0384719,0.0388108,13.0,11.0,13.0,51.0,92.6,51.0,85.0,10.5,1.0
1021,AL,Chilton,2,2,0.0457792,0.0456308,13.0,11.0,13.0,51.0,92.6,51.0,85.0,14.4,1.0
1023,AL,Choctaw,0,0,0.0,0.0,13.0,11.0,13.0,51.0,92.6,51.0,85.0,11.0,1.0
1025,AL,Clarke,2,2,0.07817997,0.082135524,13.0,11.0,13.0,51.0,92.6,51.0,85.0,14.3,1.0
1027,AL,Clay,0,0,0.0,0.0,13.0,11.0,13.0,51.0,92.6,51.0,85.0,8.6,0.0
1029,AL,Cleburne,0,0,0.0,0.0,13.0,11.0,13.0,51.0,92.6,51.0,85.0,8.3,0.0
1031,AL,Coffee,3,4,0.0594837,0.078099069,13.0,11.0,13.0,51.0,92.6,51.0,85.0,13.8,1.0
1033,AL,Colbert,5,5,0.091685921,0.092035268,13.0,11.0,13.0,51.0,92.6,51.0,85.0,12.3,1.0
1035,AL,Conecuh,0,0,0.0,0.0,13.0,11.0,13.0,51.0,92.6,51.0,85.0,11.2,1.0
1037,AL,Coosa,0,0,0.0,0.0,13.0,11.0,13.0,51.0,92.6,51.0,85.0,9.5,1.0
1039,AL,Covington,2,4,0.052608,0.106991922,13.0,11.0,13.0,51.0,92.6,51.0,85.0,11.9,1.0
1041,AL,Crenshaw,0,0,0.0,0.0,13.0,11.0,13.0,51.0,92.6,51.0,85.0,10.7,1.0
1043,AL,Cullman,3,4,0.0373083,0.0485897,13.0,11.0,13.0,51.0,92.6,51.0,85.0,11.0,1.0
1045,AL,Dale,3,2,0.0598719,0.0406273,13.0,11.0,13.0,51.0,92.6,51.0,85.0,11.7,1.0
1047,AL,Dallas,1,2,0.0231182,0.049899,13.0,11.0,13.0,51.0,92.6,51.0,85.0,13.9,1.0
1049,AL,DeKalb,5,3,0.070074138,0.0421254,13.0,11.0,13.0,51.0,92.6,51.0,85.0,11.1,1.0
1051,AL,Elmore,4,4,0.0499963,0.0492368,13.0,11.0,13.0,51.0,92.6,51.0,85.0,12.1,1.0
1053,AL,Escambia,2,2,0.0523533,0.0533675,13.0,11.0,13.0,51.0,92.6,51.0,85.0,13.5,1.0
1055,AL,Etowah,7,8,0.067079364,0.077877071,13.0,11.0,13.0,51.0,92.6,51.0,85.0,13.8,1.0
1057,AL,Fayette,0,0,0.0,0.0,13.0,11.0,13.0,51.0,92.6,51.0,85.0,9.4,1.0
1059,AL,Franklin,3,3,0.094437624,0.095005859,13.0,11.0,13.0,51.0,92.6,51.0,85.0,9.5,1.0
1061,AL,Geneva,0,0,0.0,0.0,13.0,11.0,13.0,51.0,92.6,51.0,85.0,11.2,1.0
1063,AL,Greene,0,0,0.0,0.0,13.0,11.0,13.0,51.0,92.6,51.0,85.0,12.1,1.0
1065,AL,Hale,0,0,0.0,0.0,13.0,11.0,13.0,51.0,92.6,51.0,85.0,10.4,1.0
1067,AL,Henry,1,0,0.0575506,0.0,13.0,11.0,13.0,51.0,92.6,51.0,85.0,9.8,1.0
1069,AL,Houston,5,10,0.0487957,0.095994164,13.0,11.0,13.0,51.0,92.6,51.0,85.0,14.2,1.0
1071,AL,Jackson,1,1,0.0187928,0.0192127,13.0,11.0,13.0,51.0,92.6,51.0,85.0,10.5,1.0
1073,AL,Jefferson,62,73,0.094255149,0.110648476,13.0,11.0,13.0,51.0,92.6,51.0,85.0,11.2,1.0
1075,AL,Lamar,0,0,0.0,0.0,13.0,11.0,13.0,51.0,92.6,51.0,85.0,11.8,1.0
1077,AL,Lauderdale,6,9,0.064792717,0.097488058,13.0,11.0,13.0,51.0,92.6,51.0,85.0,9.9,1.0
1079,AL,Lawrence,1,2,0.0293712,0.060183,13.0,11.0,13.0,51.0,92.6,51.0,85.0,9.1,1.0
1081,AL,Lee,8,7,0.0555105,0.0440299,13.0,11.0,13.0,51.0,92.6,51.0,85.0,9.9,1.0
1083,AL,Limestone,3,7,0.0350754,0.07533362,13.0,11.0,13.0,51.0,92.6,51.0,85.0,11.3,1.0
1085,AL,Lowndes,1,1,0.08984726,0.097646714,13.0,11.0,13.0,51.0,92.6,51.0,85.0,11.8,1.0
1087,AL,Macon,0,0,0.0,0.0,13.0,11.0,13.0,51.0,92.6,51.0,85.0,11.2,1.0
