fips,state,county,foodinsec_12_14,foodinsec_15_17,ch_foodinsec_14_17,vlfoodsec_12_14,vlfoodsec_15_17,ch_vlfoodsec_14_17,pct_diabetes18,class
1001,AL,Autauga,16.8,16.3,-0.5,7.2,7.1,-0.1,9.5,1.0
1003,AL,Baldwin,16.8,16.3,-0.5,7.2,7.1,-0.1,8.4,0.0
1005,AL,Barbour,16.8,16.3,-0.5,7.2,7.1,-0.1,13.5,1.0
1007,AL,Bibb,16.8,16.3,-0.5,7.2,7.1,-0.1,10.2,1.0
1009,AL,Blount,16.8,16.3,-0.5,7.2,7.1,-0.1,10.5,1.0
1011,AL,Bullock,16.8,16.3,-0.5,7.2,7.1,-0.1,9.4,1.0
1013,AL,Butler,16.8,16.3,-0.5,7.2,7.1,-0.1,10.9,1.0
1015,AL,Calhoun,16.8,16.3,-0.5,7.2,7.1,-0.1,12.9,1.0
1017,AL,Chambers,16.8,16.3,-0.5,7.2,7.1,-0.1,12.0,1.0
1019,AL,Cherokee,16.8,16.3,-0.5,7.2,7.1,-0.1,10.5,1.0
1021,AL,Chilton,16.8,16.3,-0.5,7.2,7.1,-0.1,14.4,1.0
1023,AL,Choctaw,16.8,16.3,-0.5,7.2,7.1,-0.1,11.0,1.0
1025,AL,Clarke,16.8,16.3,-0.5,7.2,7.1,-0.1,14.3,1.0
1027,AL,Clay,16.8,16.3,-0.5,7.2,7.1,-0.1,8.6,0.0
1029,AL,Cleburne,16.8,16.3,-0.5,7.2,7.1,-0.1,8.3,0.0
1031,AL,Coffee,16.8,16.3,-0.5,7.2,7.1,-0.1,13.8,1.0
1033,AL,Colbert,16.8,16.3,-0.5,7.2,7.1,-0.1,12.3,1.0
1035,AL,Conecuh,16.8,16.3,-0.5,7.2,7.1,-0.1,11.2,1.0
1037,AL,Coosa,16.8,16.3,-0.5,7.2,7.1,-0.1,9.5,1.0
1039,AL,Covington,16.8,16.3,-0.5,7.2,7.1,-0.1,11.9,1.0
1041,AL,Crenshaw,16.8,16.3,-0.5,7.2,7.1,-0.1,10.7,1.0
1043,AL,Cullman,16.8,16.3,-0.5,7.2,7.1,-0.1,11.0,1.0
1045,AL,Dale,16.8,16.3,-0.5,7.2,7.1,-0.1,11.7,1.0
1047,AL,Dallas,16.8,16.3,-0.5,7.2,7.1,-0.1,13.9,1.0
1049,AL,DeKalb,16.8,16.3,-0.5,7.2,7.1,-0.1,11.1,1.0
1051,AL,Elmore,16.8,16.3,-0.5,7.2,7.1,-0.1,12.1,1.0
1053,AL,Escambia,16.8,16.3,-0.5,7.2,7.1,-0.1,13.5,1.0
1055,AL,Etowah,16.8,16.3,-0.5,7.2,7.1,-0.1,13.8,1.0
1057,AL,Fayette,16.8,16.3,-0.5,7.2,7.1,-0.1,9.4,1.0
1059,AL,Franklin,16.8,16.3,-0.5,7.2,7.1,-0.1,9.5,1.0
1061,AL,Geneva,16.8,16.3,-0.5,7.2,7.1,-0.1,11.2,1.0
1063,AL,Greene,16.8,16.3,-0.5,7.2,7.1,-0.1,12.1,1.0
1065,AL,Hale,16.8,16.3,-0.5,7.2,7.1,-0.1,10.4,1.0
1067,AL,Henry,16.8,16.3,-0.5,7.2,7.1,-0.1,9.8,1.0
1069,AL,Houston,16.8,16.3,-0.5,7.2,7.1,-0.1,14.2,1.0
1071,AL,Jackson,16.8,16.3,-0.5,7.2,7.1,-0.1,10.5,1.0
1073,AL,Jefferson,16.8,16.3,-0.5,7.2,7.1,-0.1,11.2,1.0
1075,AL,Lamar,16.8,16.3,-0.5,7.2,7.1,-0.1,11.8,1.0
1077,AL,Lauderdale,16.8,16.3,-0.5,7.2,7.1,-0.1,9.9,1.0
