fips,state,county,fmrkt_frveg18,pct_fmrkt_frveg18,fmrkt_anmlprod18,pct_fmrkt_anmlprod18,fmrkt_baked18,pct_fmrkt_baked18,fmrkt_otherfood18,pct_fmrkt_otherfood18,pct_diabetes18,class
1001,AL,Autauga,1.0,100.0,0.0,0.0,1.0,100.0,1.0,100.0,9.5,1.0
1003,AL,Baldwin,3.0,75.0,4.0,100.0,3.0,75.0,3.0,75.0,8.4,0.0
1005,AL,Barbour,2.0,50.0,0.0,0.0,2.0,50.0,2.0,50.0,13.5,1.0
1007,AL,Bibb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,1.0
1009,AL,Blount,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,10.5,1.0
1011,AL,Bullock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,1.0
1013,AL,Butler,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,1.0
1015,AL,Calhoun,2.0,100.0,2.0,100.0,2.0,100.0,2.0,100.0,12.9,1.0
1017,AL,Chambers,1.0,100.0,0.0,0.0,1.0,100.0,1.0,100.0,12.0,1.0
1019,AL,Cherokee,1.0,100.0,0.0,0.0,0.0,0.0,1.0,100.0,10.5,1.0
1021,AL,Chilton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,1.0
1023,AL,Choctaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0
1025,AL,Clarke,2.0,100.0,1.0,50.0,1.0,50.0,1.0,50.0,14.3,1.0
1027,AL,Clay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.0
1029,AL,Cleburne,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,8.3,0.0
1031,AL,Coffee,2.0,100.0,2.0,100.0,1.0,50.0,2.0,100.0,13.8,1.0
1033,AL,Colbert,1.0,50.0,1.0,50.0,1.0,50.0,1.0,50.0,12.3,1.0
1035,AL,Conecuh,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,11.2,1.0
1037,AL,Coosa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,1.0
1039,AL,Covington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,1.0
1041,AL,Crenshaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,1.0
1043,AL,Cullman,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,11.0,1.0
1045,AL,Dale,1.0,50.0,1.0,50.0,1.0,50.0,1.0,50.0,11.7,1.0
1047,AL,Dallas,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,13.9,1.0
1049,AL,DeKalb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,1.0
1051,AL,Elmore,1.0,50.0,0.0,0.0,1.0,50.0,1.0,50.0,12.1,1.0
1053,AL,Escambia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,1.0
