fips,state,county,fmrkt13,fmrkt18,fmrktpth13,fmrktpth18,fmrkt_snap18,pct_fmrkt_snap18,fmrkt_wic18,pct_fmrkt_wic18,fmrkt_wiccash18,pct_fmrkt_wiccash18,fmrkt_sfmnp18,pct_fmrkt_sfmnp18,fmrkt_credit18,pct_fmrkt_credit18,pct_diabetes18,class
1001,AL,Autauga,1.0,1.0,0.01827719249,0.01798528805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,1.0
1003,AL,Baldwin,4.0,4.0,0.02052482031,0.0183467716,0.0,0.0,0.0,0.0,0.0,0.0,4.0,100.0,2.0,50.0,8.4,0.0
1005,AL,Barbour,3.0,4.0,0.1113420427,0.1607652456,2.0,50.0,0.0,0.0,0.0,0.0,2.0,50.0,2.0,50.0,13.5,1.0
1007,AL,Bibb,1.0,1.0,0.04441286251,0.04464285821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,1.0
1009,AL,Blount,1.0,1.0,0.01735779643,0.01728907414,0.0,0.0,1.0,100.0,0.0,0.0,1.0,100.0,0.0,0.0,10.5,1.0
1011,AL,Bullock,1.0,1.0,0.09477774799,0.09863878787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,1.0
1013,AL,Butler,2.0,2.0,0.09816432744,0.1016260162,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,10.9,1.0
1015,AL,Calhoun,3.0,2.0,0.02574201301,0.01750133373,1.0,50.0,0.0,0.0,0.0,0.0,2.0,100.0,1.0,50.0,12.9,1.0
1017,AL,Chambers,1.0,1.0,0.02928858064,0.02974862419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0
1019,AL,Cherokee,1.0,1.0,0.03842459247,0.03841425851,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,100.0,10.5,1.0
1021,AL,Chilton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,1.0
1023,AL,Choctaw,1.0,1.0,0.07464914769,0.07787555456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0
1025,AL,Clarke,2.0,2.0,0.07961149514,0.08361203969,1.0,50.0,0.0,0.0,0.0,0.0,2.0,100.0,1.0,50.0,14.3,1.0
1027,AL,Clay,2.0,2.0,0.1492091864,0.150659129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.0
1029,AL,Cleburne,1.0,1.0,0.06677350402,0.0667244941,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,100.0,8.3,0.0
1031,AL,Coffee,1.0,2.0,0.01973281801,0.03852896392,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,50.0,13.8,1.0
1033,AL,Colbert,3.0,2.0,0.05501256138,0.03652167693,1.0,50.0,1.0,50.0,1.0,50.0,1.0,50.0,1.0,50.0,12.3,1.0
1035,AL,Conecuh,1.0,1.0,0.07745333761,0.0814531222,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,11.2,1.0
1037,AL,Coosa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,1.0
1039,AL,Covington,2.0,2.0,0.05289326236,0.05407451466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,1.0
1041,AL,Crenshaw,1.0,1.0,0.07218132168,0.07233796269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,1.0
1043,AL,Cullman,1.0,1.0,0.01239341684,0.01198437251,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,100.0,11.0,1.0
1045,AL,Dale,2.0,2.0,0.04018323496,0.04085301235,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,50.0,11.7,1.0
1047,AL,Dallas,1.0,1.0,0.0238191653,0.02610284463,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,0.0,0.0,13.9,1.0
1049,AL,DeKalb,3.0,2.0,0.04230655357,0.02801709063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,1.0
1051,AL,Elmore,1.0,2.0,0.01241172198,0.02442390099,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,50.0,12.1,1.0
1053,AL,Escambia,3.0,2.0,0.07944284379,0.0544247292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,1.0
1055,AL,Etowah,3.0,3.0,0.02887864225,0.02926800773,0.0,0.0,0.0,0.0,0.0,0.0,2.0,66.66666412,1.0,33.33333206,13.8,1.0
1057,AL,Fayette,1.0,1.0,0.05945656821,0.06085316092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,1.0
