fips,county,state,foodhub18,csa07,csa12,agritrsm_ops07,agritrsm_ops12,agritrsm_rct07,agritrsm_rct12,farm_to_school13,farm_to_school15,pct_diabetes18,class
1003,Baldwin,AL,0.0,13.0,7.0,18.0,16.0,124000.0,204000.0,0.0,1.0,8.4,0.0
1005,Barbour,AL,0.0,1.0,0.0,27.0,32.0,163000.0,304000.0,1.0,0.0,13.5,1.0
1009,Blount,AL,0.0,7.0,4.0,10.0,8.0,293000.0,30000.0,1.0,0.0,10.5,1.0
1011,Bullock,AL,0.0,2.0,0.0,18.0,13.0,116000.0,466000.0,0.0,0.0,9.4,1.0
1013,Butler,AL,0.0,3.0,5.0,9.0,9.0,97000.0,73000.0,0.0,0.0,10.9,1.0
1015,Calhoun,AL,0.0,3.0,2.0,4.0,9.0,7000.0,203000.0,0.0,0.0,12.9,1.0
1017,Chambers,AL,0.0,0.0,1.0,18.0,14.0,89000.0,26000.0,0.0,0.0,12.0,1.0
1019,Cherokee,AL,0.0,4.0,2.0,13.0,10.0,102000.0,15000.0,1.0,1.0,10.5,1.0
1021,Chilton,AL,0.0,3.0,1.0,11.0,4.0,59000.0,14000.0,0.0,0.0,14.4,1.0
1025,Clarke,AL,0.0,0.0,0.0,8.0,10.0,23000.0,17000.0,0.0,0.0,14.3,1.0
1031,Coffee,AL,0.0,9.0,5.0,4.0,13.0,8000.0,44000.0,1.0,1.0,13.8,1.0
1033,Colbert,AL,0.0,7.0,1.0,10.0,3.0,17000.0,1000.0,1.0,1.0,12.3,1.0
1037,Coosa,AL,0.0,0.0,1.0,7.0,3.0,57000.0,87000.0,0.0,0.0,9.5,1.0
1039,Covington,AL,0.0,5.0,4.0,16.0,10.0,153000.0,13000.0,1.0,0.0,11.9,1.0
1043,Cullman,AL,0.0,5.0,13.0,9.0,9.0,27000.0,104000.0,1.0,1.0,11.0,1.0
1047,Dallas,AL,0.0,7.0,2.0,22.0,47.0,257000.0,456000.0,1.0,1.0,13.9,1.0
1069,Houston,AL,0.0,9.0,8.0,8.0,14.0,243000.0,325000.0,1.0,1.0,14.2,1.0
