fips,state,county,veg_farms07,veg_farms12,veg_acres07,veg_acres12,veg_acrespth07,veg_acrespth12,freshveg_farms07,freshveg_farms12,freshveg_acres07,freshveg_acres12,freshveg_acrespth07,freshveg_acrespth12,pct_diabetes18,class
1005,AL,Barbour,11.0,7.0,32.0,41.0,1.152862341,1.178246622,11.0,7.0,30.0,41.0,1.080808445,1.509628484,13.5,1.0
1009,AL,Blount,67.0,64.0,585.0,677.0,10.40184922,10.12531155,65.0,59.0,581.0,654.0,10.33072546,11.31957906,10.5,1.0
1021,AL,Chilton,37.0,45.0,411.0,463.0,9.584664537,9.405680024,37.0,45.0,407.0,453.0,9.49138313,10.36684441,14.4,1.0
1023,AL,Choctaw,18.0,14.0,52.0,59.0,3.65785031,3.839621945,18.0,14.0,52.0,59.0,3.65785031,4.35649413,11.0,1.0
1039,AL,Covington,19.0,20.0,40.0,55.0,1.062953416,1.057697393,16.0,20.0,38.0,55.0,1.009805745,1.454333915,11.9,1.0
1055,AL,Etowah,28.0,29.0,513.0,224.0,4.937772516,4.921571449,28.0,28.0,513.0,223.0,4.937772516,2.139396556,13.8,1.0
1065,AL,Hale,18.0,19.0,46.0,118.0,2.801802899,2.986819038,18.0,17.0,46.0,109.0,2.801802899,7.077462502,10.4,1.0
1067,AL,Henry,9.0,8.0,140.0,17.0,8.183306056,8.116412546,9.0,8.0,140.0,17.0,8.183306056,0.9855643805,9.8,1.0
1083,AL,Limestone,27.0,12.0,195.0,81.0,2.563664331,2.233139795,26.0,10.0,193.0,75.0,2.537370338,0.858899921,11.3,1.0
1089,AL,Madison,26.0,32.0,160.0,100.0,0.5065551401,0.4668861031,24.0,32.0,156.0,89.0,0.4938912616,0.2597053949,10.7,1.0
1093,AL,Marion,23.0,19.0,55.0,38.0,1.782877889,1.802392266,23.0,15.0,55.0,33.0,1.782877889,1.08143536,9.7,1.0
1095,AL,Marshall,43.0,24.0,203.0,55.0,2.265498577,2.154349026,43.0,24.0,198.0,54.0,2.20969812,0.573078066,9.8,1.0
1105,AL,Perry,26.0,20.0,119.0,80.0,11.04510859,11.68958743,25.0,20.0,111.0,80.0,10.30258029,7.858546169,13.4,1.0
1119,AL,Sumter,31.0,19.0,116.0,76.0,8.329742927,8.623894134,31.0,19.0,106.0,67.0,7.61166164,4.981042302,11.7,1.0
1121,AL,Talladega,14.0,11.0,17.0,24.0,0.2067472576,0.2074916698,11.0,6.0,11.0,15.0,0.1337776372,0.1830808851,14.2,1.0
1125,AL,Tuscaloosa,46.0,35.0,109.0,140.0,0.5912666124,0.5489994611,45.0,32.0,105.0,125.0,0.5695687551,0.6295865379,11.8,1.0
1129,AL,Washington,36.0,16.0,95.0,46.0,5.431364702,5.550686532,36.0,16.0,95.0,46.0,5.431364702,2.687700847,11.2,1.0
1131,AL,Wilcox,22.0,22.0,53.0,92.0,4.341415465,4.663440387,22.0,22.0,53.0,72.0,4.341415465,6.335239771,11.2,1.0
