fips,state,county,groc11,groc16,grocpth11,grocpth16,superc11,superc16,supercpth11,supercpth16,pct_diabetes18,class
1001,AL,Autauga,5,3,0.090581351,0.0542711,1,1,0.0181163,0.0180904,9.5,1.0
1003,AL,Baldwin,27,29,0.14474573,0.139752975,6,7,0.0321657,0.0337335,8.4,0.0
1005,AL,Barbour,6,4,0.219370407,0.155195158,0,1,0.0,0.0387988,13.5,1.0
1007,AL,Bibb,6,5,0.26379424,0.220916361,1,1,0.0439657,0.0441833,10.2,1.0
1009,AL,Blount,7,5,0.121608005,0.086862861,1,1,0.0173726,0.0173726,10.5,1.0
1011,AL,Bullock,2,3,0.18735363,0.2873288,0,0,0.0,0.0,9.4,1.0
1013,AL,Butler,3,3,0.143678161,0.15026296,1,1,0.0478927,0.0500877,10.9,1.0
1015,AL,Calhoun,24,27,0.20376109,0.234823448,3,4,0.0254701,0.0347887,12.9,1.0
1017,AL,Chambers,8,7,0.23507978,0.207610404,1,1,0.029385,0.0296586,12.0,1.0
1019,AL,Cherokee,4,5,0.153887585,0.19405418,1,1,0.0384719,0.0388108,10.5,1.0
1021,AL,Chilton,7,5,0.160227065,0.114077116,1,1,0.0228896,0.0228154,14.4,1.0
1023,AL,Choctaw,3,3,0.220474756,0.229885057,0,0,0.0,0.0,11.0,1.0
1025,AL,Clarke,5,6,0.195449926,0.246406571,2,2,0.07817997,0.082135524,14.3,1.0
1027,AL,Clay,3,3,0.219170076,0.223713647,0,0,0.0,0.0,8.6,0.0
1029,AL,Cleburne,3,2,0.20096463,0.134471862,0,0,0.0,0.0,8.3,0.0
1031,AL,Coffee,5,7,0.099139469,0.13667337,1,1,0.0198279,0.0195248,13.8,1.0
1033,AL,Colbert,10,8,0.183371841,0.147256429,1,1,0.0183372,0.0184071,12.3,1.0
1035,AL,Conecuh,5,1,0.379161295,0.079904115,0,0,0.0,0.0,11.2,1.0
1037,AL,Coosa,0,1,0.0,0.092515496,0,0,0.0,0.0,9.5,1.0
1039,AL,Covington,9,6,0.236736197,0.160487883,1,1,0.026304,0.026748,11.9,1.0
1041,AL,Crenshaw,6,4,0.431716794,0.287624937,0,0,0.0,0.0,10.7,1.0
