fips,state,county,snaps12,snaps17,snapspth12,snapspth17,wics11,wics16,wicspth11,wicspth16,pct_diabetes18,class
1001,AL,Autauga,37.41666667,44.66666667,0.6740041551,0.804746805,5.0,5.0,0.09056658298,0.09051084518,9.5,1.0
1003,AL,Baldwin,138.3333333,189.4166667,0.7250554711,0.8908359514,26.0,28.0,0.1393802911,0.1348020285,8.4,0.0
1005,AL,Barbour,34.83333333,36.0,1.280590174,1.424614167,7.0,6.0,0.2559415102,0.2323870063,13.5,1.0
1007,AL,Bibb,16.25,18.16666667,0.7191220073,0.8014234457,6.0,5.0,0.2637710571,0.221474126,10.2,1.0
1009,AL,Blount,38.0,40.16666667,0.6571438453,0.6923735485,8.0,8.0,0.1389998943,0.1390893161,10.5,1.0
1011,AL,Bullock,14.33333333,10.16666667,1.368467952,0.9861932939,2.0,3.0,0.1873185337,0.2889895141,9.4,1.0
1013,AL,Butler,27.25,24.91666667,1.341901807,1.256830601,4.0,4.0,0.1915892363,0.1997104138,10.9,1.0
1015,AL,Calhoun,137.9166667,136.0,1.175800255,1.185412454,19.0,20.0,0.1612944305,0.1738858223,12.9,1.0
1017,AL,Chambers,34.25,35.66666667,1.00546031,1.05794995,6.0,6.0,0.1763150096,0.1776672304,12.0,1.0
1019,AL,Cherokee,31.0,27.41666667,1.191345452,1.060318934,6.0,4.0,0.2308225036,0.1551831216,10.5,1.0
1021,AL,Chilton,46.75,42.5,1.066888793,0.964440511,7.0,6.0,0.160230726,0.1366867125,14.4,1.0
1023,AL,Choctaw,16.33333333,14.41666667,1.198073303,1.113686108,3.0,3.0,0.2204747498,0.2299026698,11.0,1.0
1025,AL,Clarke,40.16666667,36.16666667,1.596385941,1.501750889,10.0,8.0,0.390899837,0.328555584,14.3,1.0
1027,AL,Clay,10.16666667,11.16666667,0.7567299343,0.8353906386,3.0,3.0,0.2192021012,0.2239976078,8.6,0.0
1029,AL,Cleburne,16.66666667,12.16666667,1.123696512,0.8165548098,5.0,4.0,0.3349410594,0.269305855,8.3,0.0
1031,AL,Coffee,37.5,42.66666667,0.7316787638,0.8225058154,6.0,7.0,0.1189650074,0.1368657798,13.8,1.0
1033,AL,Colbert,55.75,63.0,1.023950336,1.155963303,9.0,9.0,0.1650316268,0.1655416042,12.3,1.0
1035,AL,Conecuh,22.75,15.83333333,1.752561436,1.26981581,2.0,2.0,0.1516070366,0.1599871963,11.2,1.0
1037,AL,Coosa,5.0,7.0,0.4559547693,0.6509205877,1.0,1.0,0.08705493063,0.09237021953,9.5,1.0
1039,AL,Covington,48.75,54.08333333,1.284415755,1.4580862,10.0,7.0,0.2630263865,0.1872559041,11.9,1.0
1041,AL,Crenshaw,20.25,19.83333333,1.437903856,1.429841636,5.0,3.0,0.3597381115,0.2154862881,10.7,1.0
1043,AL,Cullman,77.5,74.08333333,0.9634510194,0.8952127767,11.0,12.0,0.1368142217,0.145532161,11.0,1.0
1045,AL,Dale,36.58333333,51.33333333,0.725226654,1.042809355,8.0,6.0,0.1596423984,0.1217013821,11.7,1.0
1047,AL,Dallas,55.58333333,43.66666667,1.296736967,1.113519487,11.0,8.0,0.2542999685,0.1995410621,13.9,1.0
1049,AL,DeKalb,83.83333333,81.91666667,1.179422247,1.143815947,11.0,11.0,0.1541652679,0.1547095031,11.1,1.0
1051,AL,Elmore,65.75,66.83333333,0.8154634189,0.8182638115,11.0,9.0,0.1374845356,0.1107515097,12.1,1.0
1053,AL,Escambia,42.25,42.08333333,1.112017687,1.123810541,6.0,6.0,0.1570639461,0.1600512117,13.5,1.0
1055,AL,Etowah,101.0,108.5,0.9675070887,1.055909688,16.0,14.0,0.1533183903,0.136121884,13.8,1.0
1057,AL,Fayette,12.66666667,14.0,0.7458438831,0.8501335924,5.0,4.0,0.2933067381,0.2416188419,9.4,1.0
1059,AL,Franklin,30.75,33.08333333,0.9681685085,1.050431285,7.0,7.0,0.2203267068,0.221141085,9.5,1.0
1061,AL,Geneva,23.16666667,31.58333333,0.8602230391,1.195387507,6.0,7.0,0.2242236286,0.2641708851,11.2,1.0
1063,AL,Greene,15.16666667,14.83333333,1.708727655,1.780712285,2.0,2.0,0.2245929241,0.2357656509,12.1,1.0
1065,AL,Hale,15.08333333,14.25,0.9802010224,0.962057791,4.0,2.0,0.2604505718,0.1348163188,10.4,1.0
1067,AL,Henry,17.58333333,12.58333333,1.017141976,0.7338504306,3.0,4.0,0.1726419926,0.2341509163,9.8,1.0
1069,AL,Houston,121.0,136.6666667,1.170190132,1.309745143,22.0,22.0,0.2146969885,0.2110534459,14.2,1.0
1071,AL,Jackson,55.08333333,49.25,1.038935727,0.9487757422,11.0,11.0,0.2067319453,0.2113433778,10.5,1.0
1073,AL,Jefferson,551.5833333,569.4166667,0.835720927,0.8638034862,96.0,79.0,0.1459026486,0.1196378767,11.2,1.0
1075,AL,Lamar,12.33333333,13.33333333,0.8649507913,0.9560686457,4.0,4.0,0.2799747884,0.287211895,11.8,1.0
1077,AL,Lauderdale,80.66666667,93.08333333,0.8716762839,1.005893075,17.0,18.0,0.1835734248,0.1946851015,9.9,1.0
1079,AL,Lawrence,27.16666667,27.25,0.8028449278,0.8245332688,6.0,4.0,0.1762166321,0.1203622892,9.1,1.0
1081,AL,Lee,88.08333333,100.5,0.5981605855,0.6218905473,14.0,16.0,0.09713453054,0.1004413143,9.9,1.0
1083,AL,Limestone,62.08333333,67.83333333,0.7082772416,0.7185582226,9.0,8.0,0.105211474,0.08616882563,11.3,1.0
1085,AL,Lowndes,16.66666667,13.25,1.535107918,1.315005955,4.0,2.0,0.3590986729,0.1950648576,11.8,1.0
1087,AL,Macon,13.0,18.0,0.6330654979,0.9597440682,4.0,4.0,0.1879610866,0.2098195553,11.2,1.0
1089,AL,Madison,227.5833333,263.1666667,0.6633535424,0.7289006572,37.0,44.0,0.1089751348,0.1233111247,10.7,1.0
1091,AL,Marengo,25.58333333,22.83333333,1.254023496,1.178494624,6.0,5.0,0.290542841,0.2562000453,12.8,1.0
1093,AL,Marion,22.83333333,22.66666667,0.7529044526,0.7597850255,7.0,6.0,0.2283775359,0.2002402842,9.7,1.0
1095,AL,Marshall,89.16666667,100.6666667,0.9408148336,1.053571678,15.0,16.0,0.1597580165,0.1682032794,9.8,1.0
1097,AL,Mobile,463.3333333,484.25,1.119335678,1.169813144,54.0,55.0,0.1306740344,0.1323709637,11.9,1.0
1099,AL,Monroe,25.58333333,26.66666667,1.131905731,1.250371204,7.0,5.0,0.3070714176,0.232072413,11.6,1.0
1101,AL,Montgomery,195.0833333,213.5833333,0.847639283,0.9423653333,28.0,25.0,0.1221811101,0.1100972369,14.2,1.0
1103,AL,Morgan,100.3333333,118.0,0.8333679416,0.9931155212,17.0,17.0,0.1416513175,0.1428931653,9.4,1.0
1105,AL,Perry,18.75,11.08333333,1.841665848,1.186779455,4.0,3.0,0.3825920522,0.3148614466,13.4,1.0
1107,AL,Pickens,23.91666667,24.66666667,1.232500215,1.222574676,6.0,4.0,0.3100134432,0.1969570071,10.9,1.0
1109,AL,Pike,40.16666667,37.58333333,1.21049565,1.129748199,6.0,6.0,0.1817245632,0.1789922714,10.3,1.0
1111,AL,Randolph,18.16666667,20.58333333,0.8011760382,0.9079547125,5.0,4.0,0.219847858,0.1777145863,11.0,1.0
1113,AL,Russell,52.83333333,62.08333333,0.9137553326,1.088322085,12.0,11.0,0.2188542932,0.188977465,10.0,1.0
1115,AL,St. Clair,65.83333333,74.08333333,0.7723562928,0.8399566133,14.0,12.0,0.1667401046,0.1374208331,8.8,1.0
1117,AL,Shelby,101.4166667,124.75,0.504708679,0.5840219096,26.0,26.0,0.1313184351,0.1229721457,10.6,1.0
1119,AL,Sumter,16.91666667,19.91666667,1.259899208,1.569848401,7.0,4.0,0.5188644528,0.3083089292,11.7,1.0
1121,AL,Talladega,89.25,95.58333333,1.091582887,1.193821687,12.0,12.0,0.146740526,0.1491276026,14.2,1.0
1123,AL,Tallapoosa,34.41666667,41.75,0.8360053116,1.026277623,8.0,8.0,0.1932507157,0.1971900463,10.6,1.0
1125,AL,Tuscaloosa,152.1666667,163.3333333,0.7662121426,0.7859705855,22.0,22.0,0.1118346453,0.1064787507,11.8,1.0
1127,AL,Walker,62.41666667,72.83333333,0.9425509531,1.136990436,10.0,11.0,0.150202021,0.1704158187,11.2,1.0
1129,AL,Washington,17.33333333,16.66666667,1.013112007,1.008206803,4.0,3.0,0.2304944098,0.180614084,11.2,1.0
1131,AL,Wilcox,21.08333333,19.08333333,1.844399732,1.780327767,6.0,5.0,0.5243838429,0.4607870281,11.2,1.0
1133,AL,Winston,25.41666667,25.0,1.054283502,1.053874041,8.0,6.0,0.3284341991,0.2509830296,10.2,1.0
2013,AK,Aleutians East,5.0,5.0,1.581777918,1.483679525,3.0,3.0,0.920245409,0.8854781389,9.3,1.0
2016,AK,Aleutians West,5.416666667,3.833333333,0.9765038159,0.6651628203,4.0,3.0,0.716717422,0.5265005231,7.9,0.0
2020,AK,Anchorage,116.25,117.4166667,0.3893037742,0.3988934035,24.0,24.0,0.08103892207,0.08074935526,8.8,1.0
2050,AK,Bethel,56.75,51.58333333,3.197903753,2.85369182,19.0,14.0,1.091013551,0.7769576311,8.0,0.0
2060,AK,Bristol Bay,2.0,2.0,2.018163471,2.306805075,2.0,2.0,1.941747546,2.214839458,9.1,1.0
2070,AK,Dillingham,9.0,8.0,1.78784267,1.622060016,6.0,3.0,1.212611198,0.6036217213,8.2,0.0
2090,AK,Fairbanks North Star,24.91666667,25.83333333,0.2484907718,0.2591028689,8.0,8.0,0.0815461129,0.07945730537,7.9,0.0
2100,AK,Haines,3.0,3.0,1.175548589,1.187648456,2.0,2.0,0.777302742,0.7914522886,7.3,0.0
2110,AK,Juneau,13.16666667,12.0,0.4044313388,0.3739016639,5.0,5.0,0.1555113196,0.1543209851,6.3,0.0
2122,AK,Kenai Peninsula,34.0,36.58333333,0.5975395431,0.6241079095,11.0,11.0,0.1953749359,0.1881885976,8.2,0.0
2130,AK,Ketchikan Gateway,8.0,11.0,0.580593657,0.7938799076,3.0,3.0,0.2195389718,0.2187545598,8.8,1.0
2150,AK,Kodiak Island,10.08333333,8.583333333,0.7081489805,0.6382609558,3.0,2.0,0.2172968239,0.1458789259,7.0,0.0
2164,AK,Lake and Peninsula,6.25,9.0,3.778718259,5.555555556,2.0,1.0,1.213592291,0.6257822514,8.5,0.0
2170,AK,Matanuska-Susitna,36.58333333,39.0,0.3894951646,0.3660871851,8.0,6.0,0.08722578734,0.0576053448,8.2,0.0
2180,AK,Nome,28.58333333,24.91666667,2.882837452,2.511507577,19.0,15.0,1.94373405,1.505872846,7.8,0.0
2185,AK,North Slope,13.0,11.91666667,1.348128176,1.218223949,8.0,6.0,0.8376963139,0.6174110174,7.5,0.0
2188,AK,Northwest Arctic,19.0,20.5,2.432778489,2.667881312,13.0,13.0,1.687216043,1.690726995,11.6,1.0
2195,AK,Petersburg,3.0,1.0,0.7804370447,0.3047851265,3.0,3.0,0.921942234,0.9174311757,9.2,1.0
2198,AK,Prince of Wales-Hyder,7.833333333,2.0,1.362081957,0.3104144032,4.0,4.0,0.6275494099,0.6138735414,9.3,1.0
2220,AK,Sitka,3.166666667,3.083333333,0.3500626428,0.3548547973,3.0,3.0,0.3376097083,0.3433279991,7.3,0.0
2240,AK,Southeast Fairbanks,7.0,5.916666667,0.9798432251,0.8589818041,3.0,3.0,0.4196978211,0.4380201399,8.7,0.0
2261,AK,Valdez-Cordova,16.33333333,14.25,1.680902885,1.535891356,5.0,4.0,0.5134524703,0.429276675,6.2,0.0
2282,AK,Yakutat,2.0,2.0,2.994011976,3.305785124,2.0,2.0,3.048780441,3.262642622,9.0,1.0
2290,AK,Yukon-Koyukuk,38.41666667,31.66666667,6.658001155,5.902454178,9.0,7.0,1.598295093,1.290798426,9.9,1.0
4001,AZ,Apache,59.5,46.0,0.8128970558,0.6424042678,26.0,27.0,0.3601806462,0.3781353831,12.3,1.0
4003,AZ,Cochise,101.3333333,93.5,0.7671653241,0.7494629517,16.0,17.0,0.1202004328,0.1351544708,7.8,0.0
4005,AZ,Coconino,77.5,93.08333333,0.5698068539,0.661215927,22.0,22.0,0.1638501883,0.1565669179,6.9,0.0
4007,AZ,Gila,43.83333333,44.75,0.8248030508,0.8364329639,9.0,8.0,0.1684005708,0.1498015076,9.0,1.0
4009,AZ,Graham,25.25,24.41666667,0.6748449861,0.6517019876,5.0,5.0,0.1346474886,0.1321946979,11.0,1.0
4011,AZ,Greenlee,9.583333333,10.08333333,1.088767704,1.066455138,1.0,1.0,0.1165908799,0.1036162078,8.8,1.0
4012,AZ,La Paz,32.33333333,35.08333333,1.594267212,1.702991764,8.0,6.0,0.3881987631,0.2904022038,9.9,1.0
4013,AZ,Maricopa,2094.5,2072.5,0.5313064965,0.4811897192,416.0,417.0,0.1073530391,0.09791943431,8.0,0.0
4015,AZ,Mohave,128.0833333,150.75,0.6299159675,0.7275579151,22.0,20.0,0.1084807292,0.0973136574,9.4,1.0
4017,AZ,Navajo,83.75,93.33333333,0.7820232693,0.8566149027,26.0,24.0,0.2417592704,0.2211512774,11.5,1.0
4019,AZ,Pima,586.5833333,603.5833333,0.5910790808,0.5901462924,88.0,97.0,0.0890321508,0.09532007575,7.6,0.0
4021,AZ,Pinal,157.0,164.0833333,0.4053024925,0.3813789454,33.0,31.0,0.0871264115,0.0742758736,11.7,1.0
4023,AZ,Santa Cruz,26.41666667,27.25,0.5584564756,0.5896736778,5.0,4.0,0.1048569754,0.08608074486,9.4,1.0
4025,AZ,Yavapai,135.0,146.1666667,0.6348848037,0.640609843,23.0,22.0,0.1089928597,0.09795583785,7.2,0.0
4027,AZ,Yuma,106.6666667,110.75,0.5332746731,0.5336474987,26.0,26.0,0.1281526834,0.1252891272,9.5,1.0
5001,AR,Arkansas,17.91666667,19.0,0.9483732091,1.057494295,5.0,4.0,0.2649427652,0.2204464078,10.0,1.0
5003,AR,Ashley,21.66666667,19.66666667,1.00662826,0.9696133051,6.0,4.0,0.2768677175,0.1948842853,9.9,1.0
5005,AR,Baxter,28.16666667,33.83333333,0.6861885273,0.8181195341,5.0,6.0,0.1209277585,0.1458470076,9.1,1.0
5007,AR,Benton,131.0833333,137.3333333,0.5643624319,0.5157091,22.0,28.0,0.09600530565,0.108010523,9.1,1.0
5009,AR,Boone,36.58333333,29.66666667,0.9800769773,0.7936295623,4.0,5.0,0.1079039648,0.1341921687,8.0,0.0
5011,AR,Bradley,9.75,10.25,0.8554882864,0.9434830633,2.0,1.0,0.1748710275,0.09118264169,8.8,1.0
